Infografia,Provincia,Fallecidos,Fecha_reporte,Hora_reporte
38,Pastaza,0,2020/04/02 00:00:00,10:00
38,Sucumbíos,1,2020/04/02 00:00:00,10:00
38,Zamora Chinchipe,0,2020/04/02 00:00:00,10:00
38,Galápagos,0,2020/04/02 00:00:00,10:00
39,Azuay,5,2020/04/03 00:00:00,10:00
39,Bolívar,1,2020/04/03 00:00:00,10:00
39,Cañar,2,2020/04/03 00:00:00,10:00
39,Carchi,0,2020/04/03 00:00:00,10:00
39,Chimborazo,1,2020/04/03 00:00:00,10:00
39,Cotopaxi,1,2020/04/03 00:00:00,10:00
39,Imbabura,1,2020/04/03 00:00:00,10:00
39,Loja,0,2020/04/03 00:00:00,10:00
39,Pichincha,5,2020/04/03 00:00:00,10:00
39,Santo Domingo de los Tsáchilas,0,2020/04/03 00:00:00,10:00
39,Tungurahua,1,2020/04/03 00:00:00,10:00
39,El Oro,10,2020/04/03 00:00:00,10:00
39,Esmeraldas,0,2020/04/03 00:00:00,10:00
39,Guayas,102,2020/04/03 00:00:00,10:00
39,Los Ríos,9,2020/04/03 00:00:00,10:00
39,Manabí,2,2020/04/03 00:00:00,10:00
39,Santa Elena,4,2020/04/03 00:00:00,10:00
39,Morona Santiago,0,2020/04/03 00:00:00,10:00
39,Napo,0,2020/04/03 00:00:00,10:00
39,Orellana,0,2020/04/03 00:00:00,10:00
39,Pastaza,0,2020/04/03 00:00:00,10:00
39,Sucumbíos,1,2020/04/03 00:00:00,10:00
39,Zamora Chinchipe,0,2020/04/03 00:00:00,10:00
39,Galápagos,0,2020/04/03 00:00:00,10:00
40,Azuay,5,2020/04/04 00:00:00,10:00
40,Bolívar,1,2020/04/04 00:00:00,10:00
40,Cañar,2,2020/04/04 00:00:00,10:00
40,Carchi,0,2020/04/04 00:00:00,10:00
40,Chimborazo,1,2020/04/04 00:00:00,10:00
40,Cotopaxi,1,2020/04/04 00:00:00,10:00
40,Imbabura,1,2020/04/04 00:00:00,10:00
40,Loja,0,2020/04/04 00:00:00,10:00
40,Pichincha,6,2020/04/04 00:00:00,10:00
40,Santo Domingo de los Tsáchilas,2,2020/04/04 00:00:00,10:00
40,Tungurahua,2,2020/04/04 00:00:00,10:00
40,El Oro,11,2020/04/04 00:00:00,10:00
40,Esmeraldas,0,2020/04/04 00:00:00,10:00
40,Guayas,122,2020/04/04 00:00:00,10:00
40,Los Ríos,10,2020/04/04 00:00:00,10:00
40,Manabí,2,2020/04/04 00:00:00,10:00
40,Santa Elena,4,2020/04/04 00:00:00,10:00
40,Morona Santiago,0,2020/04/04 00:00:00,10:00
